date,open,high,low,close,volume
20221207153500,24265,24265,24265,24265,2
20221207153000,24265,24265,24265,24265,11476
20221207151800,24225,24225,24225,24225,53
20221207151700,24260,24270,24225,24270,415
20221207151600,24260,24260,24225,24260,518
20221207151500,24255,24265,24255,24265,868
20221207151400,24260,24260,24255,24260,454
20221207151300,24255,24260,24250,24260,461
20221207151200,24250,24255,24250,24250,463
20221207151100,24245,24255,24245,24245,454
20221207151000,24245,24250,24245,24250,454
20221207150900,24255,24260,24245,24245,516
20221207150800,24260,24265,24255,24260,468
20221207150700,24270,24270,24265,24265,463
20221207150600,24265,24275,24265,24275,462
20221207150500,24270,24270,24260,24270,569
20221207150400,24265,24275,24265,24275,344
20221207150300,24280,24280,24270,24270,463
20221207150200,24285,24300,24275,24275,462
20221207150100,24290,24295,24290,24295,477
20221207150000,24290,24295,24285,24295,569
20221207145900,24295,24300,24280,24285,455
20221207145800,24295,24305,24295,24300,467
20221207145700,24300,24310,24300,24305,454
20221207145600,24320,24320,24285,24300,466
20221207145500,24310,24320,24305,24315,482
20221207145400,24335,24335,24315,24330,509
20221207145300,24340,24340,24325,24325,373
20221207145200,24340,24340,24330,24330,127
20221207145100,24340,24340,24330,24330,22
20221207145000,24340,24340,24330,24330,4
20221207144900,24340,24340,24330,24330,12
20221207144800,24330,24330,24330,24330,6
20221207144700,24335,24345,24330,24345,19
20221207144600,24345,24345,24335,24335,4
20221207144500,24335,24345,24335,24335,9
20221207144400,24350,24350,24335,24335,13
20221207144300,24350,24350,24350,24350,9
20221207144200,24350,24350,24335,24335,208
20221207144100,24350,24350,24350,24350,2
20221207144000,24345,24345,24345,24345,8
20221207143900,24345,24345,24345,24345,9
20221207143800,24345,24345,24345,24345,2
20221207143700,24345,24345,24345,24345,2
20221207143600,24345,24345,24345,24345,9
20221207143500,24340,24345,24340,24345,11
20221207143400,24340,24340,24340,24340,2
20221207143300,24340,24340,24340,24340,2
20221207143200,24335,24335,24335,24335,9
20221207143100,24330,24335,24330,24330,52
20221207143000,24330,24330,24305,24330,11
20221207142900,24325,24325,24310,24310,16
20221207142800,24330,24330,24315,24315,4
20221207142700,24325,24325,24325,24325,2
20221207142600,24325,24330,24325,24330,3
20221207142500,24330,24330,24330,24330,18
20221207142400,24315,24335,24315,24335,7
20221207142300,24320,24335,24320,24335,20
20221207142200,24330,24340,24325,24325,102
20221207142100,24330,24335,24330,24335,17
20221207141900,24330,24330,24330,24330,2
20221207141800,24320,24330,24320,24330,25
20221207141700,24340,24340,24340,24340,8
20221207141600,24335,24340,24335,24340,11
20221207141500,24330,24330,24330,24330,2
20221207141400,24345,24345,24340,24340,9
20221207141300,24350,24350,24325,24325,16
20221207141200,24335,24350,24335,24350,3
20221207141100,24350,24350,24325,24345,28
20221207141000,24350,24350,24350,24350,6
20221207140900,24350,24350,24350,24350,2
20221207140800,24340,24350,24340,24350,23
20221207140700,24350,24350,24350,24350,11
20221207140600,24350,24350,24350,24350,9
20221207140500,24345,24345,24325,24325,12
20221207140400,24350,24350,24330,24330,28
20221207140300,24365,24365,24365,24365,9
20221207140200,24345,24365,24345,24365,14
20221207140100,24360,24360,24360,24360,2
20221207140000,24350,24350,24350,24350,100
20221207135900,24355,24360,24355,24360,9
20221207135800,24355,24355,24355,24355,2
20221207135700,24345,24345,24345,24345,7
20221207135600,24345,24345,24345,24345,2
20221207135500,24345,24345,24345,24345,19
20221207135400,24345,24345,24345,24345,2
20221207135300,24345,24345,24345,24345,10
20221207135200,24345,24345,24345,24345,4
20221207135100,24345,24345,24345,24345,7
20221207135000,24345,24345,24345,24345,2
20221207134900,24345,24345,24345,24345,2
20221207134800,24345,24345,24345,24345,17
20221207134700,24345,24345,24345,24345,2
20221207134600,24345,24345,24345,24345,2
20221207134500,24345,24345,24345,24345,2
20221207134400,24345,24345,24345,24345,9
20221207134300,24345,24345,24335,24335,10
20221207134200,24340,24340,24340,24340,2
20221207134000,24340,24340,24340,24340,28
20221207133900,24340,24340,24340,24340,12
20221207133800,24320,24340,24320,24340,57
20221207133700,24345,24345,24345,24345,9
20221207133600,24345,24345,24345,24345,2
20221207133500,24345,24345,24345,24345,2
20221207133400,24340,24345,24325,24345,13
20221207133300,24350,24350,24345,24345,10
20221207133200,24345,24345,24345,24345,1
20221207133100,24345,24345,24345,24345,2
20221207133000,24360,24365,24360,24365,11
20221207132900,24355,24360,24355,24360,8
20221207132800,24365,24365,24315,24315,14
20221207132700,24370,24370,24330,24330,13
20221207132600,24370,24370,24340,24340,21
20221207132500,24355,24370,24355,24370,18
20221207132400,24350,24350,24350,24350,2
20221207132300,24345,24345,24345,24345,2
20221207132200,24340,24340,24340,24340,2
20221207132100,24330,24335,24330,24335,9
20221207132000,24310,24330,24310,24330,50
20221207131900,24310,24310,24310,24310,2
20221207131800,24310,24310,24310,24310,9
20221207131700,24310,24310,24310,24310,3
20221207131600,24310,24310,24310,24310,10
20221207131500,24300,24300,24300,24300,4
20221207131400,24300,24300,24300,24300,11
20221207131300,24300,24300,24300,24300,2
20221207131200,24300,24300,24300,24300,2
20221207131100,24300,24300,24300,24300,17
20221207131000,24300,24300,24300,24300,2
20221207130900,24300,24300,24300,24300,2
20221207130800,24300,24300,24300,24300,2
20221207130700,24300,24300,24300,24300,10
20221207130600,24300,24300,24300,24300,12
20221207130500,24300,24300,24300,24300,3
20221207130400,24300,24300,24300,24300,3
20221207130300,24300,24300,24300,24300,7
20221207130200,24300,24300,24300,24300,12
20221207130100,24290,24300,24290,24300,3
20221207130000,24300,24300,24300,24300,3
20221207125900,24300,24300,24300,24300,8
20221207125800,24305,24305,24305,24305,2
20221207125700,24305,24305,24305,24305,10
20221207125600,24310,24310,24305,24305,9
20221207125500,24295,24305,24295,24305,52
20221207125400,24305,24305,24300,24300,4
20221207125300,24305,24305,24305,24305,2
20221207125200,24285,24300,24285,24300,20
20221207125100,24280,24280,24280,24280,1
20221207125000,24280,24280,24280,24280,2
20221207124900,24280,24280,24280,24280,2
20221207124800,24270,24275,24270,24275,17
20221207124700,24270,24270,24270,24270,2
20221207124600,24270,24270,24270,24270,2
20221207124500,24270,24270,24270,24270,10
20221207124400,24270,24270,24270,24270,1
20221207124300,24270,24270,24270,24270,21
20221207124200,24270,24270,24270,24270,2
20221207124100,24270,24270,24270,24270,8
20221207124000,24265,24270,24265,24270,125
20221207123900,24265,24265,24265,24265,2
20221207123800,24260,24260,24260,24260,10
20221207123700,24255,24260,24255,24260,59
20221207123600,24255,24255,24255,24255,2
20221207123500,24255,24255,24255,24255,2
20221207123400,24245,24245,24245,24245,9
20221207123300,24250,24255,24250,24255,9
20221207123200,24245,24245,24245,24245,2
20221207123100,24245,24245,24245,24245,3
20221207123000,24245,24245,24225,24225,12
20221207122900,24245,24245,24245,24245,10
20221207122800,24235,24255,24235,24255,14
20221207122700,24270,24270,24240,24240,69
20221207122600,24275,24275,24250,24250,45
20221207122500,24270,24280,24255,24255,92
20221207122400,24280,24280,24255,24275,88
20221207122300,24265,24280,24265,24280,51
20221207122200,24255,24280,24255,24280,87
20221207122100,24275,24280,24260,24260,71
20221207122000,24275,24280,24275,24280,59
20221207121900,24280,24285,24280,24285,57
20221207121800,24275,24280,24250,24250,69
20221207121700,24275,24275,24250,24270,64
20221207121600,24280,24280,24250,24280,101
20221207121500,24280,24290,24260,24280,91
20221207121400,24275,24280,24275,24280,101
20221207121300,24270,24280,24255,24275,73
20221207121200,24270,24275,24250,24255,96
20221207121100,24270,24275,24255,24270,78
20221207121000,24270,24275,24255,24270,69
20221207120900,24270,24270,24270,24270,51
20221207120800,24260,24270,24260,24270,150
20221207120700,24260,24260,24260,24260,58
20221207120600,24260,24260,24260,24260,11
20221207120500,24260,24260,24260,24260,49
20221207120400,24265,24265,24265,24265,59
20221207120300,24265,24265,24265,24265,2
20221207120200,24265,24265,24265,24265,2
20221207120100,24265,24265,24265,24265,12
20221207120000,24265,24265,24265,24265,9
20221207115900,24265,24265,24265,24265,2
20221207115800,24265,24265,24265,24265,3
20221207115700,24270,24270,24250,24250,89
20221207115600,24280,24280,24255,24255,63
20221207115400,24280,24280,24280,24280,2
20221207115300,24280,24280,24280,24280,9
20221207115200,24280,24280,24280,24280,10
20221207115100,24280,24280,24280,24280,5
20221207115000,24280,24280,24280,24280,2
20221207114900,24280,24280,24280,24280,8
20221207114800,24280,24280,24280,24280,2
20221207114700,24285,24285,24255,24280,32
20221207114600,24285,24285,24285,24285,1
20221207114500,24285,24285,24285,24285,10
20221207114400,24285,24285,24285,24285,3
20221207114300,24285,24285,24285,24285,11
20221207114200,24285,24285,24285,24285,2
20221207114100,24285,24285,24285,24285,8
20221207114000,24290,24290,24290,24290,2
20221207113900,24270,24290,24255,24290,27
20221207113800,24275,24295,24275,24290,47
20221207113700,24295,24295,24295,24295,9
20221207113600,24295,24295,24295,24295,8
20221207113500,24295,24295,24275,24295,19
20221207113400,24295,24295,24295,24295,16
20221207113300,24280,24300,24270,24300,126
20221207113200,24300,24300,24300,24300,9
20221207113100,24300,24300,24300,24300,10
20221207113000,24290,24295,24285,24295,17
20221207112900,24280,24290,24280,24290,37
20221207112800,24275,24275,24275,24275,9
20221207112700,24295,24295,24275,24275,26
20221207112600,24295,24295,24295,24295,9
20221207112500,24295,24295,24295,24295,2
20221207112400,24290,24295,24290,24295,19
20221207112300,24290,24290,24290,24290,16
20221207112200,24295,24295,24295,24295,9
20221207112100,24290,24295,24290,24295,10
20221207112000,24290,24290,24290,24290,9
20221207111900,24290,24290,24290,24290,24
20221207111800,24275,24290,24275,24290,26
20221207111700,24295,24305,24270,24275,163
20221207111600,24330,24330,24330,24330,2
20221207111500,24335,24335,24300,24335,28
20221207111400,24315,24345,24300,24300,40
20221207111300,24345,24345,24345,24345,2
20221207111200,24345,24345,24345,24345,8
20221207111100,24345,24345,24345,24345,4
20221207111000,24345,24345,24345,24345,21
20221207110900,24345,24345,24345,24345,2
20221207110800,24345,24345,24345,24345,9
20221207110700,24320,24345,24315,24345,23
20221207110600,24310,24315,24310,24315,2
20221207110500,24300,24305,24300,24300,15
20221207110400,24310,24310,24310,24310,10
20221207110300,24325,24325,24300,24300,3
20221207110200,24325,24325,24325,24325,2
20221207110100,24330,24330,24330,24330,11
20221207110000,24330,24330,24330,24330,8
20221207105900,24330,24330,24330,24330,2
20221207105700,24310,24330,24310,24330,530
20221207105600,24305,24310,24305,24310,12
20221207105500,24310,24310,24310,24310,2
20221207105400,24305,24310,24305,24310,8
20221207105300,24305,24305,24305,24305,9
20221207105200,24305,24305,24305,24305,4
20221207105100,24305,24305,24305,24305,12
20221207105000,24305,24305,24305,24305,3
20221207104900,24280,24305,24280,24305,18
20221207104700,24285,24315,24285,24310,22
20221207104600,24325,24325,24290,24315,49
20221207104500,24330,24330,24300,24300,12
20221207104400,24325,24330,24315,24315,22
20221207104300,24320,24320,24320,24320,2
20221207104200,24315,24315,24315,24315,17
